date,order_book_id,quantity
2019/4/30,101800923.IB,143992
2019/4/30,101801269.IB,289212
2019/4/30,101801346.IB,219042
2019/4/30,101801554.IB,584804
2019/4/30,101900108.IB,221619
2019/4/30,101900616.IB,297701
2019/4/30,124283.SH,3641
2019/4/30,127474.SH,62484
2019/4/30,136012.SH,137428
2019/4/30,122308.SH,40656
2019/4/30,122365.SH,541034
2019/4/30,136337.SH,801667
2019/4/30,136363.SH,117911
2019/4/30,136430.SH,488771
2019/4/30,136503.SH,1221642
2019/4/30,136721.SH,290576
2019/4/30,136757.SH,144931
2019/4/30,136974.SH,294294
2019/4/30,143190.SH,195933
2019/4/30,143276.SH,290329
2019/4/30,143522.SH,148434
2019/4/30,143608.SH,140984
2019/4/30,155100.SH,585478
2019/4/30,155113.SH,275189
2019/4/30,155254.SH,589528
2019/4/30,1822021.IB,577126
2019/4/30,041800456.IB,145646
2019/4/30,041900063.IB,736388
2019/4/30,011802214.IB,290347
2019/4/30,180204.IB,1333146
2019/4/30,180216.IB,729755
2019/4/30,101460044.IB,514451
2019/4/30,101559039.IB,575935
2019/4/30,101651041.IB,290990
2019/4/30,101652016.IB,515350
2019/4/30,101652038.IB,145823
2019/4/30,101658060.IB,291120
2019/4/30,101659060.IB,438449
2019/4/30,101754101.IB,725006
2019/4/30,101758029.IB,143423
2019/4/30,101800106.IB,511145
2019/4/30,101800833.IB,289654
2019/4/30,101800848.IB,143851
2019/4/30,101801104.IB,143655
2019/4/30,101801295.IB,297033
2019/4/30,101801390.IB,293585
2019/4/30,101801492.IB,293398
2019/4/30,101900239.IB,739985
2019/4/30,101900259.IB,209244
2019/4/30,101900299.IB,742640
2019/4/30,101900304.IB,299111
2019/4/30,101900418.IB,148328
2019/4/30,101900478.IB,297159
2019/4/30,cash,1278290000
